Player,Team,Player & Team,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Alex Abrines,OKC,Alex Abrines OKC,SG,24,75,8,1134,3.7,9.2,0.395,2.7,7,0.38,1,2.2,0.443,1.2,1.5,0.848,0.8,2.8,3.6,0.9,1.2,0.3,0.8,3.9,11.2
Quincy Acy,BRK,Quincy Acy BRK,PF,27,70,8,1359,3.4,9.7,0.356,2.7,7.7,0.349,0.7,1.9,0.384,1.3,1.6,0.817,1.1,5.7,6.8,1.5,0.9,0.8,1.6,3.9,10.9
Steven Adams,OKC,Steven Adams OKC,C,24,76,76,2487,6.5,10.3,0.629,0,0,0,6.5,10.3,0.631,2.3,4.1,0.559,5.6,4.4,9.9,1.3,1.3,1.1,1.9,3.1,15.3
Bam Adebayo,MIA,Bam Adebayo MIA,C,20,69,19,1368,4.6,8.9,0.512,0,0.2,0,4.6,8.8,0.523,3.4,4.7,0.721,3.1,6.9,10,2.7,0.8,1.1,1.7,3.6,12.6
Arron Afflalo,ORL,Arron Afflalo ORL,SG,32,53,3,682,3.4,8.6,0.401,1.4,3.7,0.386,2,4.9,0.413,1.2,1.4,0.846,0.2,3.3,3.5,1.6,0.2,0.5,1.1,3,9.4
Cole Aldrich,MIN,Cole Aldrich MIN,C,29,21,0,49,3.7,11,0.333,0,0,,3.7,11,0.333,1.5,4.4,0.333,2.2,8.8,11,2.2,1.5,0.7,0.7,8.1,8.8
LaMarcus Aldridge,SAS,LaMarcus Aldridge SAS,C,32,75,75,2509,9.9,19.3,0.51,0.4,1.3,0.293,9.5,18,0.526,4.8,5.7,0.837,3.5,5.6,9.1,2.2,0.6,1.3,1.6,2.3,24.9
Jarrett Allen,BRK,Jarrett Allen BRK,C,19,72,31,1441,5.8,9.9,0.589,0.1,0.4,0.333,5.7,9.5,0.599,2.8,3.7,0.776,3.6,6.1,9.7,1.2,0.7,2.2,2,3.7,14.7
Kadeem Allen,BOS,Kadeem Allen BOS,PG,25,18,1,107,2,7.4,0.273,0,3.7,0,2,3.7,0.545,2.4,3,0.778,1.3,2.4,3.7,4,1,0.7,3,5,6.4
Tony Allen,NOP,Tony Allen NOP,SF,36,22,0,273,5.8,12,0.484,0.5,1.6,0.333,5.3,10.4,0.506,1.5,2.8,0.524,2.6,3.6,6.2,1.2,1.5,0.4,2.5,6.5,13.6
Al-Farouq Aminu,POR,Al-Farouq Aminu POR,PF,27,69,67,2072,4,10.1,0.395,2.2,5.9,0.369,1.8,4.2,0.432,1,1.4,0.738,1.7,7.4,9.1,1.5,1.4,0.7,1.4,2.4,11.2
Justin Anderson,PHI,Justin Anderson PHI,SF,24,38,0,519,6,14,0.431,2.4,7.1,0.33,3.7,6.9,0.535,1.9,2.6,0.737,1.7,4.7,6.5,1.7,1,0.5,1.1,3.7,16.4
Kyle Anderson,SAS,Kyle Anderson SAS,SF,24,74,67,1978,4.2,8,0.527,0.3,1,0.333,3.9,6.9,0.556,1.9,2.7,0.712,1.5,5.7,7.2,3.7,2.1,1.1,1.7,2.1,10.6
Ryan Anderson,HOU,Ryan Anderson HOU,PF,29,66,50,1725,4.3,10,0.431,2.7,7.1,0.386,1.6,2.9,0.539,1.5,1.9,0.774,2,4.9,6.9,1.3,0.5,0.4,0.9,2.6,12.9
Ike Anigbogu,IND,Ike Anigbogu IND,C,19,11,0,30,4.8,10.8,0.444,0,0,,4.8,10.8,0.444,6,7.2,0.833,6,4.8,10.8,0,1.2,3.6,2.4,1.2,15.6
Giannis Antetokounmpo,MIL,Giannis Antetokounmpo MIL,PF,23,75,75,2756,9.7,18.3,0.529,0.6,1.8,0.307,9.1,16.5,0.554,6.4,8.4,0.76,2,7.8,9.8,4.7,1.4,1.4,2.9,3,26.3
Carmelo Anthony,OKC,Carmelo Anthony OKC,PF,33,78,78,2501,6.8,16.8,0.404,2.4,6.8,0.357,4.4,10,0.437,2.1,2.8,0.767,1,5.6,6.5,1.5,0.7,0.7,1.4,2.8,18.2
OG Anunoby,TOR,OG Anunoby TOR,SF,20,74,62,1481,4,8.4,0.471,1.8,4.8,0.371,2.2,3.6,0.604,0.9,1.5,0.629,1.1,3.4,4.5,1.3,1.3,0.3,1.1,3.2,10.6
Ryan Arcidiacono,CHI,Ryan Arcidiacono CHI,PG,23,24,0,304,2,4.9,0.415,1.1,3.7,0.29,0.9,1.2,0.8,0.6,0.7,0.833,0.1,2.8,3,4.1,1.5,0,1.5,2.1,5.7
Trevor Ariza,HOU,Trevor Ariza HOU,SF,32,67,67,2269,4.3,10.3,0.412,2.7,7.3,0.368,1.6,3,0.519,1.2,1.4,0.854,0.5,4.1,4.7,1.7,1.6,0.2,0.8,2.1,12.4
Darrell Arthur,DEN,Darrell Arthur DEN,PF,29,19,1,141,5.6,12,0.468,2,5.9,0.348,3.6,6.1,0.583,0.5,0.8,0.667,0.8,3.1,3.8,2.3,2,0.8,3.8,5.6,13.8
Jamel Artis,ORL,Jamel Artis ORL,SG,25,15,1,279,4,10.2,0.392,1,3.7,0.276,3,6.5,0.46,0.9,1.5,0.583,0.5,4.4,4.9,2.3,0.3,0.4,1,1.4,9.9
Omer Asik,TOT,Omer Asik TOT,C,31,18,0,182,1.8,4.4,0.409,0,0,,1.8,4.4,0.409,0.8,2.6,0.308,1.8,7.5,9.3,0.6,0.4,0.8,1.8,4,4.4
Omer Asik,NOP,Omer Asik NOP,C,31,14,0,121,2.1,4.8,0.438,0,0,,2.1,4.8,0.438,1.2,3.6,0.333,2.1,8.9,11,0.6,0.3,0.6,1.5,4.2,5.4
Omer Asik,CHI,Omer Asik CHI,C,31,4,0,61,1.2,3.5,0.333,0,0,,1.2,3.5,0.333,0,0.6,0,1.2,4.7,5.9,0.6,0.6,1.2,2.4,3.5,2.4
D.J. Augustin,ORL,D.J. Augustin ORL,PG,30,75,36,1760,5,11,0.452,2.3,5.6,0.419,2.7,5.5,0.485,3.4,3.9,0.868,0.6,2.7,3.3,5.9,1.1,0,2.5,1.9,15.7
Luke Babbitt,TOT,Luke Babbitt TOT,SF,28,50,14,715,4.6,10.8,0.423,3,7.9,0.385,1.6,3,0.525,0.9,1.1,0.773,0.4,4.5,4.8,1.6,0.4,0.4,1,2.7,13
Luke Babbitt,ATL,Luke Babbitt ATL,SF,28,37,9,570,5.1,10.6,0.476,3.1,7,0.441,2,3.6,0.544,1.1,1.4,0.773,0.3,4.8,5.1,1.6,0.4,0.3,0.9,3,14.3
Luke Babbitt,MIA,Luke Babbitt MIA,SF,28,13,5,145,2.7,11.7,0.234,2.7,11.2,0.244,0,0.5,0,0,0,,0.5,3.2,3.7,1.2,0.2,0.5,1,1.7,8.2
Dwayne Bacon,CHO,Dwayne Bacon CHO,SG,22,53,6,713,3.6,9.7,0.375,0.6,2.2,0.256,3.1,7.5,0.409,1,1.3,0.8,0.2,6.1,6.3,1.9,0.8,0.1,1.2,2.3,8.8
Ron Baker,NYK,Ron Baker NYK,SG,24,29,1,385,1.9,5.5,0.339,1,3.1,0.333,0.8,2.4,0.346,1.9,2.4,0.769,0.5,2.3,2.8,4.4,2.4,0.6,1.7,3.1,6.6
Wade Baldwin,POR,Wade Baldwin POR,PG,21,7,0,80,6.3,9.5,0.667,1.8,2.3,0.8,4.5,7.2,0.625,2.7,4.5,0.6,0.5,3.2,3.6,2.3,0.9,0.5,1.8,5.4,17.1
Lonzo Ball,LAL,Lonzo Ball LAL,PG,20,52,50,1780,4.1,11.4,0.36,1.8,6,0.305,2.3,5.4,0.42,0.6,1.4,0.451,1.4,5.9,7.3,7.6,1.8,0.9,2.8,2.4,10.7
J.J. Barea,DAL,J.J. Barea DAL,PG,33,69,10,1603,6.8,15.5,0.439,2.6,7,0.367,4.2,8.5,0.499,1.8,2.3,0.784,0.3,4.2,4.5,9.7,0.8,0.1,3.2,1.9,18
Harrison Barnes,DAL,Harrison Barnes DAL,PF,25,77,77,2634,7.3,16.5,0.445,1.6,4.6,0.357,5.7,12,0.478,3.5,4.3,0.827,1.1,5.3,6.4,2.1,0.7,0.2,1.6,1.3,19.8
Will Barton,DEN,Will Barton DEN,SG,27,81,40,2683,6.2,13.8,0.452,2.1,5.7,0.37,4.1,8.1,0.51,2.4,3,0.805,0.9,4.5,5.5,4.4,1.1,0.7,2,2.3,17
Nicolas Batum,CHO,Nicolas Batum CHO,SG,29,64,64,1981,4.9,11.8,0.415,1.7,5,0.336,3.2,6.8,0.473,2,2.4,0.831,1,4.5,5.6,6.3,1.2,0.4,2.4,1.3,13.4
Jerryd Bayless,PHI,Jerryd Bayless PHI,SG,29,39,11,925,4.2,10.2,0.416,2.1,5.7,0.37,2.1,4.5,0.474,1.4,1.7,0.795,0.6,2.5,3.1,2.1,0.9,0.2,1.8,3.5,11.9
Aron Baynes,BOS,Aron Baynes BOS,C,31,81,67,1485,5.1,10.8,0.471,0.1,0.5,0.143,5,10.3,0.487,1.4,1.9,0.756,3.2,7.4,10.5,2.3,0.5,1.2,1.9,4.8,11.7
Kent Bazemore,ATL,Kent Bazemore ATL,SG,28,65,65,1789,5.7,13.6,0.42,2.2,5.5,0.394,3.5,8.1,0.438,3.2,4,0.796,0.5,4.5,5,4.6,2,0.9,3.2,3,16.8
Bradley Beal,WAS,Bradley Beal WAS,SG,24,82,82,2977,8.3,17.9,0.46,2.4,6.4,0.375,5.9,11.5,0.507,3.5,4.5,0.791,0.7,3.7,4.4,4.5,1.2,0.4,2.6,1.9,22.5
Malik Beasley,DEN,Malik Beasley DEN,SG,21,62,0,583,4.5,11,0.41,1.7,5.1,0.341,2.8,5.9,0.469,1.4,2,0.667,0.9,3.5,4.4,1.9,0.9,0.4,1.5,2.2,12.1
Michael Beasley,NYK,Michael Beasley NYK,PF,29,74,30,1653,8.9,17.6,0.507,0.7,1.9,0.395,8.2,15.7,0.52,2.7,3.5,0.78,2.1,6.9,9,2.7,0.8,0.9,3.1,3.2,21.3
Marco Belinelli,TOT,Marco Belinelli TOT,SG,31,80,2,1947,6.2,14.1,0.441,2.8,7.3,0.377,3.5,6.8,0.509,2.7,3,0.908,0.4,2.4,2.8,2.7,1.2,0.2,1.7,1.7,18
Marco Belinelli,ATL,Marco Belinelli ATL,SG,31,52,1,1210,5.9,14.4,0.41,2.7,7.3,0.372,3.2,7.1,0.45,3,3.2,0.927,0.4,2.6,3,3.1,1.4,0.1,1.6,1.2,17.6
Marco Belinelli,PHI,Marco Belinelli PHI,SG,31,28,1,737,6.7,13.6,0.495,2.8,7.2,0.385,4,6.4,0.618,2.3,2.6,0.87,0.3,2.2,2.5,2.2,1,0.4,2,2.4,18.6
Jordan Bell,GSW,Jordan Bell GSW,C,23,57,13,809,5.2,8.2,0.627,0,0.2,0,5.2,8.1,0.641,1.3,2,0.682,2.7,6.5,9.2,4.5,1.6,2.5,2.3,4.1,11.7
DeAndre' Bembry,ATL,DeAndre' Bembry ATL,SF,23,26,3,455,4.2,10.1,0.414,0.9,2.4,0.367,3.3,7.8,0.429,1.5,2.6,0.576,0.6,5.1,5.7,3.9,1.7,0.9,3.7,3,10.8
Dragan Bender,PHO,Dragan Bender PHO,PF,20,82,37,2069,3.3,8.4,0.386,2.1,5.6,0.366,1.2,2.8,0.426,0.7,0.9,0.765,0.7,5.6,6.3,2.3,0.4,0.9,1.9,2.9,9.2
D?vis Bert?ns,SAS,D?vis Bert?ns SAS,PF,25,77,10,1086,5.3,12.1,0.44,3.1,8.4,0.373,2.2,3.8,0.588,1.3,1.6,0.816,0.6,4.5,5.1,2.5,0.9,0.9,1.2,3.1,15.1
Patrick Beverley,LAC,Patrick Beverley LAC,SG,29,11,11,334,5.2,12.8,0.403,2.6,6.5,0.4,2.6,6.4,0.407,1.5,1.8,0.824,1.7,3.1,4.9,3.4,2,0.5,2.7,3.7,14.4
Khem Birch,ORL,Khem Birch ORL,C,25,42,0,578,4.2,7.8,0.54,0,0,,4.2,7.8,0.54,2.6,3.8,0.689,4.4,6.9,11.2,2.1,0.9,1.3,1.3,3.5,11.1
